Tempo Decorrido,Lambda
100.000000,5.02
200.000000,4.95
300.000000,4.98
400.000000,4.98
500.000000,4.98
600.000000,5.08
700.000000,5.06
800.000000,5.04
900.000000,5.06
1000.000000,5.09
1100.000000,5.12
1200.000000,5.14
1300.000000,5.11
1400.000000,5.13
1500.000000,5.13
1600.000000,5.12
1700.000000,5.13
1800.000000,5.12
1900.000000,5.11
2000.000000,5.11
2100.000000,5.10
2200.000000,5.10
2300.000000,5.12
2400.000000,5.12
2500.000000,5.12
2600.000000,5.12
2700.000000,5.13
2800.000000,5.13
2900.000000,5.12
3000.000000,5.12
3100.000000,5.12
3200.000000,5.11
3300.000000,5.10
3400.000000,5.10
3500.000000,5.10
3600.000000,5.09
3700.000000,5.10
3800.000000,5.09
3900.000000,5.09
4000.000000,5.10
4100.000000,5.10
4200.000000,5.10
4300.000000,5.09
4400.000000,5.09
4500.000000,5.09
4600.000000,5.09
4700.000000,5.08
4800.000000,5.07
4900.000000,5.07
5000.000000,5.07
5100.000000,5.07
5200.000000,5.07
5300.000000,5.07
5400.000000,5.07
5500.000000,5.07
5600.000000,5.07
5700.000000,5.07
5800.000000,5.06
5900.000000,5.05
6000.000000,5.05
6100.000000,5.05
6200.000000,5.04
6300.000000,5.05
6400.000000,5.05
6500.000000,5.05
6600.000000,5.05
6700.000000,5.04
6800.000000,5.04
6900.000000,5.04
7000.000000,5.04
7100.000000,5.04
7200.000000,5.04
7300.000000,5.03
7400.000000,5.03
7500.000000,5.03
7600.000000,5.03
7700.000000,5.03
7800.000000,5.03
7900.000000,5.03
8000.000000,5.03
8100.000000,5.03
8200.000000,5.04
8300.000000,5.03
8400.000000,5.03
8500.000000,5.03
8600.000000,5.03
8700.000000,5.03
8800.000000,5.04
8900.000000,5.04
9000.000000,5.04
9100.000000,5.04
9200.000000,5.04
9300.000000,5.04
9400.000000,5.04
9500.000000,5.04
9600.000000,5.04
9700.000000,5.04
9800.000000,5.04
9900.000000,5.04
10000.000000,5.04
10100.000000,5.05
10200.000000,5.05
10300.000000,5.04
10400.000000,5.04
10500.000000,5.04
10600.000000,5.04
10700.000000,5.04
10800.000000,5.04
10900.000000,5.04
11000.000000,5.04
11100.000000,5.05
11200.000000,5.05
11300.000000,5.05
11400.000000,5.05
11500.000000,5.04
11600.000000,5.05
11700.000000,5.04
11800.000000,5.04
11900.000000,5.04
12000.000000,5.04
12100.000000,5.04
12200.000000,5.04
12300.000000,5.04
12400.000000,5.04
12500.000000,5.04
12600.000000,5.04
12700.000000,5.03
12800.000000,5.03
12900.000000,5.03
13000.000000,5.03
13100.000000,5.03
13200.000000,5.03
13300.000000,5.03
13400.000000,5.03
13500.000000,5.03
13600.000000,5.03
13700.000000,5.03
13800.000000,5.03
13900.000000,5.03
14000.000000,5.03
14100.000000,5.03
14200.000000,5.03
14300.000000,5.03
14400.000000,5.03
14500.000000,5.03
14600.000000,5.03
14700.000000,5.03
14800.000000,5.03
14900.000000,5.03
15000.000000,5.03
15100.000000,5.03
15200.000000,5.03
15300.000000,5.03
15400.000000,5.03
15500.000000,5.03
15600.000000,5.03
15700.000000,5.03
15800.000000,5.03
15900.000000,5.03
16000.000000,5.03
16100.000000,5.03
16200.000000,5.03
16300.000000,5.03
16400.000000,5.03
16500.000000,5.03
16600.000000,5.03
16700.000000,5.03
16800.000000,5.03
16900.000000,5.03
17000.000000,5.03
17100.000000,5.03
17200.000000,5.03
17300.000000,5.03
17400.000000,5.03
17500.000000,5.03
17600.000000,5.03
17700.000000,5.03
17800.000000,5.02
17900.000000,5.03
18000.000000,5.02
18100.000000,5.03
18200.000000,5.02
18300.000000,5.03
18400.000000,5.03
18500.000000,5.03
18600.000000,5.03
18700.000000,5.03
18800.000000,5.03
18900.000000,5.03
19000.000000,5.03
19100.000000,5.03
19200.000000,5.03
19300.000000,5.03
19400.000000,5.03
19500.000000,5.03
19600.000000,5.03
19700.000000,5.03
19800.000000,5.03
19900.000000,5.02
20000.000000,5.02
20100.000000,5.02
20200.000000,5.02
20300.000000,5.02
20400.000000,5.02
20500.000000,5.02
20600.000000,5.02
20700.000000,5.02
20800.000000,5.02
20900.000000,5.02
21000.000000,5.02
21100.000000,5.02
21200.000000,5.02
21300.000000,5.02
21400.000000,5.02
21500.000000,5.02
21600.000000,5.02
21700.000000,5.02
21800.000000,5.02
21900.000000,5.02
22000.000000,5.02
22100.000000,5.02
22200.000000,5.02
22300.000000,5.02
22400.000000,5.02
22500.000000,5.02
22600.000000,5.02
22700.000000,5.02
22800.000000,5.02
22900.000000,5.02
23000.000000,5.02
23100.000000,5.02
23200.000000,5.02
23300.000000,5.02
23400.000000,5.03
23500.000000,5.03
23600.000000,5.03
23700.000000,5.02
23800.000000,5.02
23900.000000,5.02
24000.000000,5.02
24100.000000,5.02
24200.000000,5.02
24300.000000,5.02
24400.000000,5.02
24500.000000,5.02
24600.000000,5.02
24700.000000,5.02
24800.000000,5.02
24900.000000,5.02
25000.000000,5.02
25100.000000,5.02
25200.000000,5.02
25300.000000,5.02
25400.000000,5.02
25500.000000,5.02
25600.000000,5.02
25700.000000,5.02
25800.000000,5.02
25900.000000,5.02
26000.000000,5.02
26100.000000,5.02
26200.000000,5.02
26300.000000,5.02
26400.000000,5.02
26500.000000,5.02
26600.000000,5.02
26700.000000,5.02
26800.000000,5.02
26900.000000,5.02
27000.000000,5.02
27100.000000,5.02
27200.000000,5.02
