Tempo Decorrido,Ocupacao
100.000000,0.78
200.000000,0.82
300.000000,0.83
400.000000,0.84
500.000000,0.83
600.000000,0.85
700.000000,0.85
800.000000,0.85
900.000000,0.85
1000.000000,0.86
1100.000000,0.87
1200.000000,0.87
1300.000000,0.87
1400.000000,0.87
1500.000000,0.87
1600.000000,0.87
1700.000000,0.87
1800.000000,0.86
1900.000000,0.86
2000.000000,0.86
2100.000000,0.86
2200.000000,0.86
2300.000000,0.86
2400.000000,0.86
2500.000000,0.86
2600.000000,0.86
2700.000000,0.86
2800.000000,0.86
2900.000000,0.86
3000.000000,0.86
3100.000000,0.86
3200.000000,0.86
3300.000000,0.86
3400.000000,0.86
3500.000000,0.86
3600.000000,0.86
3700.000000,0.86
3800.000000,0.86
3900.000000,0.86
4000.000000,0.86
4100.000000,0.86
4200.000000,0.86
4300.000000,0.86
4400.000000,0.86
4500.000000,0.86
4600.000000,0.86
4700.000000,0.86
4800.000000,0.86
4900.000000,0.86
5000.000000,0.86
5100.000000,0.86
5200.000000,0.86
5300.000000,0.86
5400.000000,0.86
5500.000000,0.86
5600.000000,0.86
5700.000000,0.86
5800.000000,0.86
5900.000000,0.85
6000.000000,0.85
6100.000000,0.85
6200.000000,0.85
6300.000000,0.85
6400.000000,0.85
6500.000000,0.85
6600.000000,0.85
6700.000000,0.85
6800.000000,0.85
6900.000000,0.85
7000.000000,0.85
7100.000000,0.85
7200.000000,0.85
7300.000000,0.85
7400.000000,0.85
7500.000000,0.85
7600.000000,0.85
7700.000000,0.85
7800.000000,0.85
7900.000000,0.85
8000.000000,0.85
8100.000000,0.85
8200.000000,0.85
8300.000000,0.85
8400.000000,0.85
8500.000000,0.85
8600.000000,0.85
8700.000000,0.85
8800.000000,0.85
8900.000000,0.85
9000.000000,0.85
9100.000000,0.85
9200.000000,0.85
9300.000000,0.85
9400.000000,0.85
9500.000000,0.85
9600.000000,0.85
9700.000000,0.85
9800.000000,0.85
9900.000000,0.85
10000.000000,0.85
10100.000000,0.86
10200.000000,0.86
10300.000000,0.86
10400.000000,0.85
10500.000000,0.85
10600.000000,0.86
10700.000000,0.86
10800.000000,0.86
10900.000000,0.86
11000.000000,0.86
11100.000000,0.86
11200.000000,0.86
11300.000000,0.86
11400.000000,0.86
11500.000000,0.86
11600.000000,0.86
11700.000000,0.86
11800.000000,0.86
11900.000000,0.86
12000.000000,0.86
12100.000000,0.86
