Tempo Decorrido,Taxa Media Chegada,Taxa Saída,E[N],E[W],Lambda, Erro de Little,Ocupacao
100.000000,5.00,5.56,15.052406,2.829400,5.320000, -0.000000,0.980083
200.000000,5.00,5.56,10.906977,2.109667,5.170000, -0.000000,0.945720
300.000000,5.00,5.56,9.847582,1.928378,5.106667, 0.000000,0.935344
400.000000,5.00,5.56,9.788480,1.929715,5.072500, 0.000000,0.937313
500.000000,5.00,5.56,8.838066,1.763381,5.012000, 0.000000,0.916397
600.000000,5.00,5.56,7.913947,1.603637,4.935000, 0.000000,0.897022
700.000000,5.00,5.56,8.855276,1.791012,4.944286, 0.000000,0.897676
800.000000,5.00,5.56,9.645021,1.954412,4.935000, 0.000000,0.906646
900.000000,5.00,5.56,9.378273,1.889934,4.962222, 0.000000,0.906048
1000.000000,5.00,5.56,9.159959,1.831259,5.002000, -0.000000,0.906295
1100.000000,5.00,5.56,9.104170,1.824151,4.990909, -0.000000,0.906086
1200.000000,5.00,5.56,9.100784,1.817733,5.006667, -0.000000,0.908514
1300.000000,5.00,5.56,8.812041,1.758891,5.010000, -0.000000,0.905438
1400.000000,5.00,5.56,8.742393,1.747730,5.002143, -0.000000,0.909249
1500.000000,5.00,5.56,8.519526,1.705269,4.996000, -0.000000,0.909757
1600.000000,5.00,5.56,8.263425,1.647536,5.015625, -0.000000,0.907193
1700.000000,5.00,5.56,9.740239,1.935298,5.032941, -0.000000,0.912568
1800.000000,5.00,5.56,9.626104,1.916278,5.023333, -0.000000,0.910231
1900.000000,5.00,5.56,9.333233,1.859015,5.020526, -0.000000,0.907579
2000.000000,5.00,5.56,9.067819,1.807959,5.015500, -0.000000,0.906347
2100.000000,5.00,5.56,8.964830,1.784807,5.022857, -0.000000,0.905769
2200.000000,5.00,5.56,9.151168,1.817019,5.036364, -0.000000,0.909300
2300.000000,5.00,5.56,9.165883,1.820669,5.034348, -0.000000,0.905690
2400.000000,5.00,5.56,10.052778,1.996249,5.035833, -0.000000,0.907648
2500.000000,5.00,5.56,9.982884,1.980888,5.039600, -0.000000,0.906026
2600.000000,5.00,5.56,9.723584,1.937563,5.018462, -0.000000,0.902956
2700.000000,5.00,5.56,9.512244,1.899073,5.008889, -0.000000,0.902021
