Tempo Decorrido,E[N]
100.000000,8.61
200.000000,10.53
300.000000,10.07
400.000000,10.76
500.000000,9.48
600.000000,9.58
700.000000,9.13
800.000000,8.66
900.000000,8.30
1000.000000,8.06
1100.000000,7.83
1200.000000,8.32
1300.000000,9.10
1400.000000,10.43
1500.000000,10.37
1600.000000,10.93
1700.000000,11.51
1800.000000,11.04
1900.000000,10.76
2000.000000,10.52
2100.000000,10.25
2200.000000,10.03
2300.000000,9.97
2400.000000,9.93
2500.000000,9.70
2600.000000,9.47
2700.000000,9.67
2800.000000,9.83
2900.000000,9.79
3000.000000,9.90
3100.000000,9.78
3200.000000,9.62
3300.000000,9.44
3400.000000,9.48
3500.000000,9.34
3600.000000,9.40
3700.000000,9.27
3800.000000,9.41
3900.000000,9.95
4000.000000,9.93
4100.000000,9.85
4200.000000,9.80
4300.000000,9.84
4400.000000,9.70
4500.000000,9.61
4600.000000,9.61
4700.000000,9.62
4800.000000,9.57
4900.000000,9.56
5000.000000,9.51
5100.000000,9.60
5200.000000,9.55
5300.000000,9.70
5400.000000,9.62
5500.000000,9.53
5600.000000,9.42
5700.000000,9.30
5800.000000,9.45
5900.000000,9.35
6000.000000,9.29
6100.000000,9.30
6200.000000,9.21
6300.000000,9.14
6400.000000,9.11
6500.000000,9.03
6600.000000,9.00
6700.000000,9.14
6800.000000,9.13
6900.000000,9.35
7000.000000,9.45
7100.000000,9.48
7200.000000,9.41
7300.000000,9.39
7400.000000,9.39
7500.000000,9.33
7600.000000,9.29
7700.000000,9.31
7800.000000,9.26
7900.000000,9.22
8000.000000,9.16
8100.000000,9.37
8200.000000,9.40
8300.000000,9.36
8400.000000,9.33
8500.000000,9.26
8600.000000,9.24
8700.000000,9.17
8800.000000,9.15
8900.000000,9.10
9000.000000,9.06
9100.000000,9.04
9200.000000,9.04
9300.000000,9.11
9400.000000,9.07
9500.000000,9.04
9600.000000,9.04
9700.000000,9.04
9800.000000,9.01
9900.000000,9.00
10000.000000,9.04
10100.000000,9.02
10200.000000,9.03
10300.000000,9.00
10400.000000,8.94
10500.000000,8.98
10600.000000,8.97
10700.000000,8.95
10800.000000,8.91
10900.000000,9.20
11000.000000,9.25
11100.000000,9.27
11200.000000,9.32
11300.000000,9.29
11400.000000,9.29
11500.000000,9.28
11600.000000,9.27
11700.000000,9.25
11800.000000,9.21
11900.000000,9.22
12000.000000,9.18
12100.000000,9.19
12200.000000,9.22
12300.000000,9.20
12400.000000,9.17
12500.000000,9.14
12600.000000,9.14
12700.000000,9.11
12800.000000,9.08
12900.000000,9.05
13000.000000,9.02
13100.000000,9.00
13200.000000,9.01
13300.000000,8.98
13400.000000,8.97
13500.000000,8.95
13600.000000,8.92
13700.000000,9.02
13800.000000,8.98
13900.000000,8.94
14000.000000,8.95
14100.000000,8.93
14200.000000,8.90
14300.000000,8.92
14400.000000,8.91
14500.000000,8.96
14600.000000,8.94
14700.000000,8.93
14800.000000,8.90
14900.000000,8.90
15000.000000,8.91
15100.000000,8.89
15200.000000,8.87
15300.000000,8.84
15400.000000,8.83
15500.000000,8.82
15600.000000,8.90
15700.000000,9.01
15800.000000,8.98
15900.000000,8.95
16000.000000,8.97
16100.000000,9.01
16200.000000,8.98
16300.000000,8.95
16400.000000,8.96
16500.000000,8.99
16600.000000,8.97
16700.000000,8.95
16800.000000,8.93
16900.000000,8.91
17000.000000,8.92
17100.000000,8.90
17200.000000,8.87
17300.000000,8.88
17400.000000,8.89
17500.000000,8.88
17600.000000,8.85
17700.000000,8.82
17800.000000,8.80
17900.000000,8.77
18000.000000,8.74
18100.000000,8.72
18200.000000,8.69
18300.000000,8.68
18400.000000,8.68
18500.000000,8.71
18600.000000,8.70
18700.000000,8.76
18800.000000,8.74
18900.000000,8.71
19000.000000,8.69
19100.000000,8.67
19200.000000,8.65
19300.000000,8.62
19400.000000,8.61
19500.000000,8.61
19600.000000,8.59
19700.000000,8.59
19800.000000,8.59
19900.000000,8.58
20000.000000,8.58
20100.000000,8.56
20200.000000,8.54
20300.000000,8.59
20400.000000,8.58
20500.000000,8.61
20600.000000,8.61
20700.000000,8.61
20800.000000,8.61
20900.000000,8.62
21000.000000,8.60
21100.000000,8.58
21200.000000,8.71
21300.000000,8.70
21400.000000,8.69
21500.000000,8.68
21600.000000,8.69
21700.000000,8.70
21800.000000,8.69
21900.000000,8.68
22000.000000,8.67
22100.000000,8.64
22200.000000,8.65
22300.000000,8.63
22400.000000,8.62
22500.000000,8.59
22600.000000,8.57
22700.000000,8.55
22800.000000,8.55
22900.000000,8.59
23000.000000,8.59
23100.000000,8.57
23200.000000,8.57
23300.000000,8.61
23400.000000,8.60
23500.000000,8.59
23600.000000,8.57
23700.000000,8.57
23800.000000,8.59
23900.000000,8.58
24000.000000,8.59
24100.000000,8.72
24200.000000,8.75
24300.000000,8.74
24400.000000,8.71
24500.000000,8.71
24600.000000,8.75
24700.000000,8.77
24800.000000,8.75
24900.000000,8.74
25000.000000,8.76
25100.000000,8.75
25200.000000,8.73
25300.000000,8.71
25400.000000,8.70
25500.000000,8.72
25600.000000,8.71
25700.000000,8.69
25800.000000,8.70
25900.000000,8.71
26000.000000,8.71
26100.000000,8.69
26200.000000,8.70
26300.000000,8.68
26400.000000,8.68
26500.000000,8.67
26600.000000,8.65
26700.000000,8.65
26800.000000,8.65
26900.000000,8.66
27000.000000,8.73
27100.000000,8.71
27200.000000,8.69
27300.000000,8.70
27400.000000,8.70
27500.000000,8.69
27600.000000,8.68
27700.000000,8.68
27800.000000,8.67
27900.000000,8.66
28000.000000,8.65
28100.000000,8.63
28200.000000,8.62
28300.000000,8.60
28400.000000,8.60
28500.000000,8.61
28600.000000,8.64
28700.000000,8.63
28800.000000,8.62
28900.000000,8.60
29000.000000,8.59
29100.000000,8.57
29200.000000,8.58
29300.000000,8.59
29400.000000,8.57
29500.000000,8.59
29600.000000,8.57
29700.000000,8.62
29800.000000,8.60
29900.000000,8.60
30000.000000,8.59
30100.000000,8.60
30200.000000,8.60
30300.000000,8.65
30400.000000,8.71
30500.000000,8.71
30600.000000,8.76
30700.000000,8.77
30800.000000,8.77
30900.000000,8.78
31000.000000,8.76
31100.000000,8.77
31200.000000,8.76
31300.000000,8.76
31400.000000,8.75
31500.000000,8.75
31600.000000,8.74
31700.000000,8.74
31800.000000,8.73
31900.000000,8.72
32000.000000,8.75
32100.000000,8.74
32200.000000,8.73
32300.000000,8.73
32400.000000,8.74
32500.000000,8.73
32600.000000,8.76
32700.000000,8.75
32800.000000,8.74
32900.000000,8.72
33000.000000,8.81
33100.000000,8.90
33200.000000,8.91
33300.000000,8.90
33400.000000,8.90
33500.000000,8.88
33600.000000,8.89
33700.000000,8.89
33800.000000,8.89
33900.000000,8.91
34000.000000,8.91
34100.000000,8.94
34200.000000,8.92
34300.000000,8.91
34400.000000,8.90
34500.000000,8.90
34600.000000,8.91
34700.000000,8.90
34800.000000,8.91
34900.000000,8.91
35000.000000,8.96
35100.000000,8.97
35200.000000,8.99
35300.000000,8.98
35400.000000,8.97
35500.000000,8.99
35600.000000,8.98
35700.000000,8.96
35800.000000,8.95
35900.000000,8.95
36000.000000,8.95
36100.000000,8.95
36200.000000,8.93
36300.000000,8.93
36400.000000,8.92
36500.000000,8.91
36600.000000,8.90
36700.000000,8.89
36800.000000,8.88
36900.000000,8.89
37000.000000,8.88
37100.000000,8.89
37200.000000,8.88
37300.000000,8.89
37400.000000,8.89
37500.000000,8.88
37600.000000,8.87
37700.000000,8.86
37800.000000,8.84
37900.000000,8.86
38000.000000,8.87
38100.000000,8.87
38200.000000,8.88
38300.000000,8.88
38400.000000,8.89
38500.000000,8.91
38600.000000,8.93
38700.000000,8.94
38800.000000,8.94
