Tempo Decorrido,E[N]
100.000000,38.14
200.000000,43.23
300.000000,47.24
400.000000,39.08
500.000000,32.44
600.000000,29.29
700.000000,26.82
800.000000,24.49
900.000000,23.03
1000.000000,22.68
1100.000000,20.97
1200.000000,19.66
1300.000000,19.16
1400.000000,18.25
1500.000000,17.96
1600.000000,17.57
1700.000000,16.84
1800.000000,16.54
1900.000000,16.25
2000.000000,15.94
2100.000000,15.60
2200.000000,15.39
2300.000000,15.13
2400.000000,15.34
2500.000000,15.38
2600.000000,15.65
2700.000000,15.39
2800.000000,15.26
2900.000000,14.99
3000.000000,14.69
3100.000000,14.60
3200.000000,14.39
3300.000000,14.22
3400.000000,14.37
3500.000000,14.16
3600.000000,14.55
3700.000000,14.55
3800.000000,14.35
3900.000000,14.21
4000.000000,14.05
4100.000000,14.04
4200.000000,14.07
4300.000000,14.02
4400.000000,14.18
4500.000000,14.00
4600.000000,13.89
4700.000000,13.92
4800.000000,13.88
4900.000000,13.68
5000.000000,13.93
5100.000000,14.04
5200.000000,13.92
5300.000000,13.80
5400.000000,13.67
5500.000000,13.78
5600.000000,13.82
5700.000000,13.95
5800.000000,14.16
5900.000000,14.11
6000.000000,14.45
6100.000000,14.55
6200.000000,14.55
6300.000000,14.54
6400.000000,14.61
6500.000000,14.58
6600.000000,14.63
6700.000000,14.77
6800.000000,14.74
6900.000000,14.89
7000.000000,14.76
7100.000000,14.91
7200.000000,14.77
7300.000000,14.66
7400.000000,14.74
7500.000000,14.79
7600.000000,14.86
7700.000000,14.92
7800.000000,15.01
7900.000000,14.98
8000.000000,14.88
8100.000000,14.79
8200.000000,14.74
8300.000000,14.74
8400.000000,14.99
8500.000000,14.92
8600.000000,14.82
8700.000000,14.69
8800.000000,14.58
8900.000000,14.56
9000.000000,14.48
9100.000000,14.46
9200.000000,14.37
9300.000000,14.32
9400.000000,14.25
9500.000000,14.24
9600.000000,14.17
9700.000000,14.25
9800.000000,14.21
9900.000000,14.13
10000.000000,14.27
10100.000000,14.25
10200.000000,14.23
10300.000000,14.20
10400.000000,14.21
10500.000000,14.15
10600.000000,14.12
10700.000000,14.05
10800.000000,14.05
10900.000000,14.01
11000.000000,14.18
11100.000000,14.31
11200.000000,14.24
11300.000000,14.23
11400.000000,14.31
11500.000000,14.29
11600.000000,14.43
11700.000000,14.39
11800.000000,14.35
11900.000000,14.30
12000.000000,14.21
12100.000000,14.27
12200.000000,14.41
12300.000000,14.42
12400.000000,14.41
12500.000000,14.35
12600.000000,14.31
12700.000000,14.28
12800.000000,14.28
12900.000000,14.25
13000.000000,14.27
13100.000000,14.30
13200.000000,14.34
13300.000000,14.31
13400.000000,14.23
13500.000000,14.16
13600.000000,14.16
13700.000000,14.16
13800.000000,14.11
13900.000000,14.08
14000.000000,14.01
14100.000000,14.15
14200.000000,14.21
14300.000000,14.25
14400.000000,14.23
14500.000000,14.20
14600.000000,14.19
14700.000000,14.34
14800.000000,14.42
14900.000000,14.42
15000.000000,14.37
15100.000000,14.33
15200.000000,14.33
15300.000000,14.29
15400.000000,14.25
15500.000000,14.22
15600.000000,14.21
15700.000000,14.20
15800.000000,14.15
15900.000000,14.16
16000.000000,14.34
16100.000000,14.38
16200.000000,14.38
16300.000000,14.32
16400.000000,14.31
16500.000000,14.51
16600.000000,14.51
16700.000000,14.48
16800.000000,14.49
16900.000000,14.46
17000.000000,14.44
17100.000000,14.43
17200.000000,14.39
17300.000000,14.34
17400.000000,14.29
17500.000000,14.26
17600.000000,14.23
17700.000000,14.44
17800.000000,14.74
17900.000000,15.09
18000.000000,15.42
18100.000000,15.39
18200.000000,15.35
18300.000000,15.39
18400.000000,15.48
18500.000000,15.53
18600.000000,15.51
18700.000000,15.59
18800.000000,15.56
18900.000000,15.52
19000.000000,15.54
19100.000000,15.49
19200.000000,15.50
19300.000000,15.54
19400.000000,15.53
19500.000000,15.55
19600.000000,15.51
19700.000000,15.55
19800.000000,15.54
19900.000000,15.64
20000.000000,15.73
20100.000000,15.70
20200.000000,15.65
20300.000000,15.62
20400.000000,15.58
20500.000000,15.55
20600.000000,15.53
20700.000000,15.64
20800.000000,15.81
20900.000000,15.78
21000.000000,15.76
21100.000000,15.74
21200.000000,15.78
21300.000000,15.88
21400.000000,16.00
21500.000000,15.96
21600.000000,16.00
21700.000000,16.08
21800.000000,16.03
21900.000000,16.02
22000.000000,15.97
22100.000000,15.93
22200.000000,15.89
22300.000000,15.85
22400.000000,15.89
22500.000000,15.86
22600.000000,15.86
22700.000000,15.86
22800.000000,15.82
22900.000000,15.81
23000.000000,15.83
23100.000000,15.80
23200.000000,15.84
23300.000000,15.84
23400.000000,15.81
23500.000000,15.78
23600.000000,15.76
23700.000000,15.74
23800.000000,15.70
23900.000000,15.70
24000.000000,15.70
24100.000000,15.66
24200.000000,15.66
24300.000000,15.72
24400.000000,15.97
24500.000000,16.19
24600.000000,16.39
24700.000000,16.49
24800.000000,16.45
24900.000000,16.42
25000.000000,16.38
25100.000000,16.38
25200.000000,16.38
25300.000000,16.35
25400.000000,16.36
25500.000000,16.37
25600.000000,16.36
25700.000000,16.35
25800.000000,16.39
25900.000000,16.37
26000.000000,16.43
26100.000000,16.43
26200.000000,16.40
26300.000000,16.36
26400.000000,16.36
26500.000000,16.33
26600.000000,16.31
26700.000000,16.35
26800.000000,16.33
26900.000000,16.29
27000.000000,16.26
27100.000000,16.24
27200.000000,16.35
27300.000000,16.45
27400.000000,16.49
27500.000000,16.47
27600.000000,16.45
27700.000000,16.48
27800.000000,16.48
27900.000000,16.47
28000.000000,16.43
28100.000000,16.48
28200.000000,16.54
28300.000000,16.53
28400.000000,16.55
28500.000000,16.53
28600.000000,16.56
28700.000000,16.58
28800.000000,16.60
28900.000000,16.57
29000.000000,16.63
29100.000000,16.66
29200.000000,16.66
29300.000000,16.67
29400.000000,16.78
29500.000000,16.80
29600.000000,16.79
29700.000000,16.75
29800.000000,16.73
29900.000000,16.72
30000.000000,16.73
30100.000000,16.72
30200.000000,16.68
30300.000000,16.68
30400.000000,16.69
30500.000000,16.75
30600.000000,16.73
30700.000000,16.75
30800.000000,16.73
30900.000000,16.70
31000.000000,16.72
31100.000000,16.76
31200.000000,16.83
31300.000000,16.88
31400.000000,16.89
31500.000000,16.96
31600.000000,17.01
31700.000000,17.16
31800.000000,17.18
31900.000000,17.14
32000.000000,17.17
32100.000000,17.25
32200.000000,17.30
32300.000000,17.43
32400.000000,17.43
32500.000000,17.41
32600.000000,17.44
32700.000000,17.43
32800.000000,17.43
32900.000000,17.39
33000.000000,17.38
33100.000000,17.42
33200.000000,17.41
33300.000000,17.38
33400.000000,17.36
33500.000000,17.34
33600.000000,17.31
33700.000000,17.28
33800.000000,17.27
33900.000000,17.30
34000.000000,17.27
34100.000000,17.31
34200.000000,17.28
34300.000000,17.24
34400.000000,17.23
34500.000000,17.24
34600.000000,17.24
34700.000000,17.23
34800.000000,17.24
34900.000000,17.22
35000.000000,17.21
35100.000000,17.19
35200.000000,17.21
35300.000000,17.20
35400.000000,17.19
35500.000000,17.18
35600.000000,17.18
35700.000000,17.18
35800.000000,17.26
35900.000000,17.27
36000.000000,17.24
36100.000000,17.21
36200.000000,17.18
36300.000000,17.14
36400.000000,17.16
36500.000000,17.14
36600.000000,17.17
36700.000000,17.18
36800.000000,17.16
36900.000000,17.13
37000.000000,17.14
37100.000000,17.15
37200.000000,17.13
37300.000000,17.16
37400.000000,17.15
37500.000000,17.18
37600.000000,17.18
37700.000000,17.15
37800.000000,17.13
37900.000000,17.10
38000.000000,17.09
38100.000000,17.07
38200.000000,17.07
38300.000000,17.07
38400.000000,17.09
38500.000000,17.12
38600.000000,17.22
38700.000000,17.29
38800.000000,17.30
38900.000000,17.28
39000.000000,17.25
39100.000000,17.24
39200.000000,17.23
39300.000000,17.22
39400.000000,17.20
39500.000000,17.18
39600.000000,17.15
39700.000000,17.13
39800.000000,17.14
39900.000000,17.18
40000.000000,17.21
40100.000000,17.20
40200.000000,17.22
40300.000000,17.22
40400.000000,17.22
40500.000000,17.22
40600.000000,17.19
40700.000000,17.23
40800.000000,17.22
40900.000000,17.20
41000.000000,17.19
41100.000000,17.19
41200.000000,17.27
41300.000000,17.28
41400.000000,17.30
41500.000000,17.28
41600.000000,17.29
41700.000000,17.43
