Tempo Decorrido,E[W]
100.000000,7.10
200.000000,8.31
300.000000,9.04
400.000000,7.63
500.000000,6.45
600.000000,5.82
700.000000,5.34
800.000000,4.89
900.000000,4.59
1000.000000,4.54
1100.000000,4.23
1200.000000,3.98
1300.000000,3.87
1400.000000,3.70
1500.000000,3.63
1600.000000,3.55
1700.000000,3.41
1800.000000,3.34
1900.000000,3.28
2000.000000,3.21
2100.000000,3.14
2200.000000,3.11
2300.000000,3.05
2400.000000,3.10
2500.000000,3.11
2600.000000,3.16
2700.000000,3.11
2800.000000,3.08
2900.000000,3.03
3000.000000,2.97
3100.000000,2.96
3200.000000,2.91
3300.000000,2.87
3400.000000,2.90
3500.000000,2.86
3600.000000,2.93
3700.000000,2.93
3800.000000,2.90
3900.000000,2.87
4000.000000,2.84
4100.000000,2.84
4200.000000,2.84
4300.000000,2.83
4400.000000,2.86
4500.000000,2.82
4600.000000,2.80
4700.000000,2.80
4800.000000,2.79
4900.000000,2.75
5000.000000,2.80
5100.000000,2.82
5200.000000,2.79
5300.000000,2.77
5400.000000,2.75
5500.000000,2.77
5600.000000,2.78
5700.000000,2.80
5800.000000,2.84
5900.000000,2.83
6000.000000,2.90
6100.000000,2.92
6200.000000,2.92
6300.000000,2.91
6400.000000,2.93
6500.000000,2.92
6600.000000,2.93
6700.000000,2.96
6800.000000,2.95
6900.000000,2.98
7000.000000,2.95
7100.000000,2.98
7200.000000,2.96
7300.000000,2.94
7400.000000,2.95
7500.000000,2.96
7600.000000,2.97
7700.000000,2.98
7800.000000,3.00
7900.000000,3.00
8000.000000,2.98
8100.000000,2.96
8200.000000,2.95
8300.000000,2.95
8400.000000,3.00
8500.000000,2.99
8600.000000,2.97
8700.000000,2.95
8800.000000,2.93
8900.000000,2.92
9000.000000,2.91
9100.000000,2.90
9200.000000,2.89
9300.000000,2.87
9400.000000,2.86
9500.000000,2.86
9600.000000,2.84
9700.000000,2.86
9800.000000,2.85
9900.000000,2.84
10000.000000,2.86
10100.000000,2.86
10200.000000,2.86
10300.000000,2.85
10400.000000,2.85
10500.000000,2.84
10600.000000,2.83
10700.000000,2.82
10800.000000,2.82
10900.000000,2.81
11000.000000,2.85
11100.000000,2.87
11200.000000,2.86
11300.000000,2.86
11400.000000,2.87
11500.000000,2.87
11600.000000,2.90
11700.000000,2.89
11800.000000,2.88
11900.000000,2.87
12000.000000,2.85
12100.000000,2.86
12200.000000,2.89
12300.000000,2.89
12400.000000,2.90
12500.000000,2.88
12600.000000,2.87
12700.000000,2.87
12800.000000,2.87
12900.000000,2.86
13000.000000,2.87
13100.000000,2.87
13200.000000,2.88
13300.000000,2.88
13400.000000,2.86
13500.000000,2.85
13600.000000,2.84
13700.000000,2.85
13800.000000,2.84
13900.000000,2.83
14000.000000,2.82
14100.000000,2.84
14200.000000,2.86
14300.000000,2.86
14400.000000,2.86
14500.000000,2.86
14600.000000,2.85
14700.000000,2.88
14800.000000,2.90
14900.000000,2.90
15000.000000,2.89
15100.000000,2.88
15200.000000,2.88
15300.000000,2.87
15400.000000,2.86
