Tempo Decorrido,Ocupacao
100.000000,1.00
200.000000,1.00
300.000000,1.00
400.000000,0.99
500.000000,0.97
600.000000,0.97
700.000000,0.96
800.000000,0.96
900.000000,0.96
1000.000000,0.96
1100.000000,0.95
1200.000000,0.94
1300.000000,0.94
1400.000000,0.94
1500.000000,0.94
1600.000000,0.94
1700.000000,0.94
1800.000000,0.94
1900.000000,0.94
2000.000000,0.94
2100.000000,0.94
2200.000000,0.94
2300.000000,0.94
2400.000000,0.94
2500.000000,0.94
2600.000000,0.94
2700.000000,0.94
2800.000000,0.94
2900.000000,0.94
3000.000000,0.94
3100.000000,0.94
3200.000000,0.94
3300.000000,0.94
3400.000000,0.94
3500.000000,0.94
3600.000000,0.94
3700.000000,0.94
3800.000000,0.94
3900.000000,0.94
4000.000000,0.94
4100.000000,0.94
4200.000000,0.94
4300.000000,0.94
4400.000000,0.94
4500.000000,0.94
4600.000000,0.94
4700.000000,0.94
4800.000000,0.94
4900.000000,0.94
5000.000000,0.94
5100.000000,0.94
5200.000000,0.94
5300.000000,0.94
5400.000000,0.94
5500.000000,0.94
5600.000000,0.94
5700.000000,0.94
5800.000000,0.94
5900.000000,0.94
6000.000000,0.94
6100.000000,0.94
6200.000000,0.94
6300.000000,0.94
6400.000000,0.94
6500.000000,0.94
6600.000000,0.94
6700.000000,0.94
6800.000000,0.95
6900.000000,0.95
7000.000000,0.95
7100.000000,0.95
7200.000000,0.94
7300.000000,0.94
7400.000000,0.94
7500.000000,0.95
7600.000000,0.95
7700.000000,0.95
7800.000000,0.95
7900.000000,0.95
8000.000000,0.94
8100.000000,0.94
8200.000000,0.95
8300.000000,0.95
8400.000000,0.95
8500.000000,0.95
8600.000000,0.95
8700.000000,0.94
8800.000000,0.94
8900.000000,0.94
9000.000000,0.94
9100.000000,0.94
9200.000000,0.94
9300.000000,0.94
9400.000000,0.94
9500.000000,0.94
9600.000000,0.94
9700.000000,0.94
9800.000000,0.94
9900.000000,0.94
10000.000000,0.94
10100.000000,0.94
10200.000000,0.94
10300.000000,0.94
10400.000000,0.94
10500.000000,0.94
10600.000000,0.94
10700.000000,0.94
10800.000000,0.94
10900.000000,0.94
11000.000000,0.94
11100.000000,0.94
11200.000000,0.94
11300.000000,0.94
11400.000000,0.94
11500.000000,0.94
11600.000000,0.94
11700.000000,0.94
11800.000000,0.94
11900.000000,0.94
12000.000000,0.94
12100.000000,0.94
12200.000000,0.94
12300.000000,0.94
12400.000000,0.94
12500.000000,0.94
12600.000000,0.94
12700.000000,0.94
12800.000000,0.94
12900.000000,0.94
13000.000000,0.94
13100.000000,0.94
13200.000000,0.94
13300.000000,0.94
13400.000000,0.94
13500.000000,0.94
13600.000000,0.94
13700.000000,0.94
13800.000000,0.94
13900.000000,0.94
14000.000000,0.94
14100.000000,0.94
14200.000000,0.94
14300.000000,0.94
14400.000000,0.94
14500.000000,0.94
14600.000000,0.94
14700.000000,0.94
14800.000000,0.94
14900.000000,0.94
15000.000000,0.94
15100.000000,0.94
15200.000000,0.94
15300.000000,0.94
15400.000000,0.94
15500.000000,0.94
15600.000000,0.94
15700.000000,0.94
15800.000000,0.94
15900.000000,0.94
16000.000000,0.94
16100.000000,0.94
16200.000000,0.94
16300.000000,0.94
16400.000000,0.94
16500.000000,0.94
16600.000000,0.94
16700.000000,0.94
16800.000000,0.94
16900.000000,0.94
17000.000000,0.94
17100.000000,0.94
17200.000000,0.94
17300.000000,0.94
17400.000000,0.94
17500.000000,0.94
17600.000000,0.94
17700.000000,0.94
17800.000000,0.94
17900.000000,0.94
18000.000000,0.95
18100.000000,0.95
18200.000000,0.94
18300.000000,0.95
18400.000000,0.95
18500.000000,0.95
18600.000000,0.95
18700.000000,0.95
18800.000000,0.95
18900.000000,0.95
19000.000000,0.95
19100.000000,0.95
19200.000000,0.95
19300.000000,0.95
19400.000000,0.95
19500.000000,0.95
19600.000000,0.95
19700.000000,0.95
19800.000000,0.95
19900.000000,0.95
20000.000000,0.95
20100.000000,0.95
20200.000000,0.95
20300.000000,0.95
20400.000000,0.95
20500.000000,0.95
20600.000000,0.95
20700.000000,0.95
20800.000000,0.95
20900.000000,0.95
21000.000000,0.95
21100.000000,0.95
21200.000000,0.95
21300.000000,0.95
21400.000000,0.95
21500.000000,0.95
21600.000000,0.95
21700.000000,0.95
21800.000000,0.95
21900.000000,0.95
22000.000000,0.95
22100.000000,0.95
22200.000000,0.95
22300.000000,0.95
22400.000000,0.95
22500.000000,0.95
22600.000000,0.95
22700.000000,0.95
22800.000000,0.95
22900.000000,0.95
23000.000000,0.95
23100.000000,0.95
23200.000000,0.95
23300.000000,0.95
23400.000000,0.95
23500.000000,0.95
23600.000000,0.95
23700.000000,0.95
23800.000000,0.95
23900.000000,0.95
24000.000000,0.95
24100.000000,0.95
24200.000000,0.95
24300.000000,0.95
24400.000000,0.95
24500.000000,0.95
24600.000000,0.95
24700.000000,0.95
24800.000000,0.95
24900.000000,0.95
25000.000000,0.95
25100.000000,0.95
25200.000000,0.95
25300.000000,0.95
25400.000000,0.95
25500.000000,0.95
25600.000000,0.95
25700.000000,0.95
25800.000000,0.95
25900.000000,0.95
26000.000000,0.95
26100.000000,0.95
26200.000000,0.95
26300.000000,0.95
26400.000000,0.95
26500.000000,0.95
26600.000000,0.95
26700.000000,0.95
26800.000000,0.95
26900.000000,0.95
27000.000000,0.95
27100.000000,0.95
27200.000000,0.95
27300.000000,0.95
27400.000000,0.95
27500.000000,0.95
27600.000000,0.95
27700.000000,0.95
27800.000000,0.95
27900.000000,0.95
28000.000000,0.95
28100.000000,0.95
28200.000000,0.95
28300.000000,0.95
28400.000000,0.95
28500.000000,0.95
28600.000000,0.95
28700.000000,0.95
28800.000000,0.95
28900.000000,0.95
29000.000000,0.95
29100.000000,0.95
29200.000000,0.95
29300.000000,0.95
29400.000000,0.95
29500.000000,0.95
29600.000000,0.95
29700.000000,0.95
29800.000000,0.95
29900.000000,0.95
30000.000000,0.95
30100.000000,0.95
30200.000000,0.95
30300.000000,0.95
30400.000000,0.95
30500.000000,0.95
30600.000000,0.95
30700.000000,0.95
30800.000000,0.95
30900.000000,0.95
31000.000000,0.95
31100.000000,0.95
31200.000000,0.95
31300.000000,0.95
31400.000000,0.95
31500.000000,0.95
31600.000000,0.95
31700.000000,0.95
31800.000000,0.95
31900.000000,0.95
32000.000000,0.95
32100.000000,0.95
32200.000000,0.95
32300.000000,0.95
32400.000000,0.95
32500.000000,0.95
32600.000000,0.95
32700.000000,0.95
32800.000000,0.95
32900.000000,0.95
33000.000000,0.95
33100.000000,0.95
33200.000000,0.95
33300.000000,0.95
33400.000000,0.95
33500.000000,0.95
33600.000000,0.95
33700.000000,0.95
33800.000000,0.95
33900.000000,0.95
34000.000000,0.95
34100.000000,0.95
34200.000000,0.95
34300.000000,0.95
34400.000000,0.95
34500.000000,0.95
34600.000000,0.95
34700.000000,0.95
34800.000000,0.95
34900.000000,0.95
35000.000000,0.95
35100.000000,0.95
35200.000000,0.95
35300.000000,0.95
35400.000000,0.95
35500.000000,0.95
35600.000000,0.95
35700.000000,0.95
35800.000000,0.95
35900.000000,0.95
36000.000000,0.95
36100.000000,0.95
36200.000000,0.95
36300.000000,0.95
36400.000000,0.95
36500.000000,0.95
36600.000000,0.95
36700.000000,0.95
36800.000000,0.95
36900.000000,0.95
37000.000000,0.95
37100.000000,0.95
37200.000000,0.95
37300.000000,0.95
37400.000000,0.95
37500.000000,0.95
37600.000000,0.95
37700.000000,0.95
37800.000000,0.95
37900.000000,0.95
38000.000000,0.95
38100.000000,0.95
38200.000000,0.95
38300.000000,0.95
38400.000000,0.95
38500.000000,0.95
38600.000000,0.95
38700.000000,0.95
38800.000000,0.95
38900.000000,0.95
39000.000000,0.95
39100.000000,0.95
39200.000000,0.95
39300.000000,0.95
39400.000000,0.95
39500.000000,0.95
