Tempo Decorrido,E[W]
100.000000,2.65
200.000000,4.78
300.000000,6.23
400.000000,5.93
500.000000,5.31
600.000000,4.95
700.000000,5.47
800.000000,5.95
900.000000,7.02
1000.000000,7.59
1100.000000,7.84
1200.000000,7.41
1300.000000,7.03
1400.000000,6.68
1500.000000,6.62
1600.000000,6.55
1700.000000,6.41
1800.000000,6.17
1900.000000,6.26
2000.000000,6.07
2100.000000,5.91
2200.000000,5.82
2300.000000,5.65
2400.000000,5.47
2500.000000,5.35
2600.000000,5.28
2700.000000,5.35
2800.000000,5.25
2900.000000,5.13
3000.000000,5.04
3100.000000,4.93
3200.000000,4.84
3300.000000,4.76
3400.000000,4.79
3500.000000,4.85
3600.000000,5.06
3700.000000,5.10
3800.000000,5.24
3900.000000,5.41
4000.000000,5.48
4100.000000,5.44
4200.000000,5.51
4300.000000,5.44
4400.000000,5.43
4500.000000,5.45
4600.000000,5.42
4700.000000,5.45
4800.000000,5.60
4900.000000,5.65
5000.000000,5.76
5100.000000,5.70
5200.000000,5.66
5300.000000,5.70
5400.000000,5.82
5500.000000,5.94
5600.000000,5.93
5700.000000,5.85
5800.000000,5.84
5900.000000,5.82
6000.000000,6.04
6100.000000,6.38
6200.000000,6.82
6300.000000,7.31
6400.000000,7.85
6500.000000,8.36
6600.000000,8.77
6700.000000,9.15
6800.000000,9.46
6900.000000,9.67
7000.000000,9.92
7100.000000,10.15
7200.000000,10.29
7300.000000,10.43
7400.000000,10.46
7500.000000,10.49
7600.000000,10.60
7700.000000,10.70
7800.000000,10.80
7900.000000,10.79
8000.000000,10.68
8100.000000,10.56
8200.000000,10.47
8300.000000,10.40
8400.000000,10.37
8500.000000,10.35
8600.000000,10.32
8700.000000,10.23
8800.000000,10.21
8900.000000,10.23
9000.000000,10.24
9100.000000,10.22
9200.000000,10.22
9300.000000,10.19
9400.000000,10.22
9500.000000,10.28
9600.000000,10.33
9700.000000,10.42
9800.000000,10.40
9900.000000,10.35
10000.000000,10.35
10100.000000,10.33
10200.000000,10.27
10300.000000,10.22
10400.000000,10.15
10500.000000,10.13
10600.000000,10.14
10700.000000,10.14
10800.000000,10.13
10900.000000,10.11
11000.000000,10.05
11100.000000,10.08
11200.000000,10.11
11300.000000,10.18
11400.000000,10.27
11500.000000,10.35
11600.000000,10.45
11700.000000,10.49
11800.000000,10.43
11900.000000,10.38
12000.000000,10.35
12100.000000,10.33
12200.000000,10.40
12300.000000,10.49
12400.000000,10.61
12500.000000,10.66
12600.000000,10.61
12700.000000,10.55
12800.000000,10.48
12900.000000,10.46
13000.000000,10.48
13100.000000,10.53
13200.000000,10.59
13300.000000,10.64
13400.000000,10.69
13500.000000,10.71
13600.000000,10.69
13700.000000,10.67
13800.000000,10.62
13900.000000,10.58
14000.000000,10.61
14100.000000,10.68
14200.000000,10.75
14300.000000,10.84
14400.000000,10.90
14500.000000,10.98
14600.000000,11.03
14700.000000,11.10
14800.000000,11.14
14900.000000,11.12
15000.000000,11.08
15100.000000,11.02
15200.000000,10.95
15300.000000,10.93
15400.000000,10.90
15500.000000,10.88
15600.000000,10.91
15700.000000,10.96
15800.000000,11.04
15900.000000,11.04
16000.000000,11.05
16100.000000,11.01
16200.000000,10.96
16300.000000,10.91
16400.000000,10.86
16500.000000,10.81
16600.000000,10.77
16700.000000,10.75
16800.000000,10.75
16900.000000,10.75
17000.000000,10.72
17100.000000,10.67
17200.000000,10.62
17300.000000,10.58
17400.000000,10.54
17500.000000,10.50
17600.000000,10.45
17700.000000,10.42
17800.000000,10.39
17900.000000,10.41
18000.000000,10.41
18100.000000,10.36
18200.000000,10.32
18300.000000,10.27
18400.000000,10.23
18500.000000,10.21
18600.000000,10.18
18700.000000,10.15
18800.000000,10.11
18900.000000,10.07
19000.000000,10.03
19100.000000,9.99
19200.000000,9.96
19300.000000,9.92
19400.000000,9.90
19500.000000,9.86
19600.000000,9.83
19700.000000,9.81
19800.000000,9.81
19900.000000,9.78
20000.000000,9.75
20100.000000,9.73
20200.000000,9.70
20300.000000,9.69
20400.000000,9.66
20500.000000,9.65
20600.000000,9.65
20700.000000,9.67
20800.000000,9.71
20900.000000,9.75
21000.000000,9.77
21100.000000,9.83
21200.000000,9.87
21300.000000,9.91
